type,price,pnl,time
close_buy,1.1649,-0.140000000000029,2025-12-08 14:00:00
open_sell,1.1649,,2025-12-08 14:00:00
close_sell,1.1639,-0.19999999999997797,2025-12-09 03:00:00
open_buy,1.1639,,2025-12-09 03:00:00
close_buy,1.16429,0.140000000000029,2025-12-09 13:45:00
open_sell,1.16429,,2025-12-09 13:45:00
close_sell,1.16263,0.08000000000008001,2025-12-10 07:15:00
open_buy,1.16263,,2025-12-10 07:15:00
close_buy,1.16913,0.580000000000247,2025-12-11 09:00:00
open_sell,1.16913,,2025-12-11 09:00:00
close_sell,1.17065,-1.1600000000000499,2025-12-11 12:45:00
open_buy,1.17065,,2025-12-11 12:45:00
close_buy,1.17429,0.5399999999999849,2025-12-12 02:00:00
open_sell,1.17429,,2025-12-12 02:00:00
close_sell,1.17422,-1.959999999999962,2025-12-12 19:15:00
open_buy,1.17422,,2025-12-12 19:15:00
close_buy,1.17408,0.44000000000021794,2025-12-15 03:45:00
open_sell,1.17408,,2025-12-15 03:45:00
close_sell,1.17426,-0.300000000000189,2025-12-15 12:15:00
open_buy,1.17426,,2025-12-15 12:15:00
close_buy,1.17504,-0.07999999999963592,2025-12-15 22:45:00
open_sell,1.17504,,2025-12-15 22:45:00
close_sell,1.17542,-0.17999999999984695,2025-12-16 04:15:00
open_buy,1.17542,,2025-12-16 04:15:00
close_buy,1.17573,1.1600000000000499,2025-12-16 10:00:00
open_sell,1.17573,,2025-12-16 10:00:00
close_sell,1.17573,0.0,2025-12-16 10:15:00
open_buy,1.17573,,2025-12-16 10:15:00
close_buy,1.17586,0.2999999999997449,2025-12-16 22:00:00
open_sell,1.17586,,2025-12-16 22:00:00
close_sell,1.17488,-1.679999999999904,2025-12-17 17:00:00
open_buy,1.17488,,2025-12-17 17:00:00
close_buy,1.17407,-0.39999999999995595,2025-12-18 02:30:00
open_sell,1.17407,,2025-12-18 02:30:00
close_sell,1.17439,-0.31999999999987594,2025-12-18 08:30:00
open_buy,1.17439,,2025-12-18 08:30:00
close_buy,1.1718600000000001,-1.4999999999996128,2025-12-18 11:15:00
open_sell,1.1718600000000001,,2025-12-18 11:15:00
close_sell,1.17229,-0.780000000000225,2025-12-18 19:30:00
open_buy,1.17229,,2025-12-18 19:30:00
close_buy,1.1718899999999999,-0.16000000000016001,2025-12-18 20:45:00
open_sell,1.1718899999999999,,2025-12-18 20:45:00
